id,category,question,answer,url,confidence
1.0,inscription,Comment s'inscrire à l'ISET?,"Pour vous inscrire à l'ISET, vous devez suivre ces étapes : 1) Créer un compte sur notre plateforme d'inscription en ligne, 2) Remplir le formulaire d'inscription avec vos informations personnelles, 3) Télécharger les documents requis (pièce d'identité, relevés de notes, etc.), 4) Payer les frais d'inscription, 5) Soumettre votre dossier et attendre la confirmation. Pour plus de détails, consultez la page des inscriptions sur notre site web.",/admissions/procedure-inscription,
2.0,inscription,"Je voudrais m'inscrire à l'ISET, quelle est la procédure?","Pour vous inscrire à l'ISET, vous devez suivre ces étapes : 1) Créer un compte sur notre plateforme d'inscription en ligne, 2) Remplir le formulaire d'inscription avec vos informations personnelles, 3) Télécharger les documents requis (pièce d'identité, relevés de notes, etc.), 4) Payer les frais d'inscription, 5) Soumettre votre dossier et attendre la confirmation. Pour plus de détails, consultez la page des inscriptions sur notre site web.",/admissions/procedure-inscription,
3.0,inscription,Quelles sont les étapes pour l'inscription à l'ISET?,"Pour vous inscrire à l'ISET, vous devez suivre ces étapes : 1) Créer un compte sur notre plateforme d'inscription en ligne, 2) Remplir le formulaire d'inscription avec vos informations personnelles, 3) Télécharger les documents requis (pièce d'identité, relevés de notes, etc.), 4) Payer les frais d'inscription, 5) Soumettre votre dossier et attendre la confirmation. Pour plus de détails, consultez la page des inscriptions sur notre site web.",/admissions/procedure-inscription,
4.0,inscription,Comment faire pour m'inscrire comme nouvel étudiant?,"Pour vous inscrire à l'ISET, vous devez suivre ces étapes : 1) Créer un compte sur notre plateforme d'inscription en ligne, 2) Remplir le formulaire d'inscription avec vos informations personnelles, 3) Télécharger les documents requis (pièce d'identité, relevés de notes, etc.), 4) Payer les frais d'inscription, 5) Soumettre votre dossier et attendre la confirmation. Pour plus de détails, consultez la page des inscriptions sur notre site web.",/admissions/procedure-inscription,
5.0,inscription,Procédure d'inscription à l'ISET,"Pour vous inscrire à l'ISET, vous devez suivre ces étapes : 1) Créer un compte sur notre plateforme d'inscription en ligne, 2) Remplir le formulaire d'inscription avec vos informations personnelles, 3) Télécharger les documents requis (pièce d'identité, relevés de notes, etc.), 4) Payer les frais d'inscription, 5) Soumettre votre dossier et attendre la confirmation. Pour plus de détails, consultez la page des inscriptions sur notre site web.",/admissions/procedure-inscription,
6.0,inscription,Quels sont les documents nécessaires pour l'inscription?,"Les documents nécessaires pour l'inscription à l'ISET sont : 1) Copie de la pièce d'identité, 2) Photo d'identité récente, 3) Relevés de notes des deux dernières années, 4) Diplôme ou attestation de réussite, 5) Certificat médical, 6) Justificatif de paiement des frais d'inscription. Tous les documents doivent être numérisés au format PDF pour l'inscription en ligne.",/admissions/documents-requis,
7.0,inscription,Documents requis pour s'inscrire à l'ISET,"Les documents nécessaires pour l'inscription à l'ISET sont : 1) Copie de la pièce d'identité, 2) Photo d'identité récente, 3) Relevés de notes des deux dernières années, 4) Diplôme ou attestation de réussite, 5) Certificat médical, 6) Justificatif de paiement des frais d'inscription. Tous les documents doivent être numérisés au format PDF pour l'inscription en ligne.",/admissions/documents-requis,
8.0,inscription,Quels papiers faut-il fournir pour l'inscription?,"Les documents nécessaires pour l'inscription à l'ISET sont : 1) Copie de la pièce d'identité, 2) Photo d'identité récente, 3) Relevés de notes des deux dernières années, 4) Diplôme ou attestation de réussite, 5) Certificat médical, 6) Justificatif de paiement des frais d'inscription. Tous les documents doivent être numérisés au format PDF pour l'inscription en ligne.",/admissions/documents-requis,
9.0,inscription,Liste des documents pour compléter mon dossier d'inscription,"Les documents nécessaires pour l'inscription à l'ISET sont : 1) Copie de la pièce d'identité, 2) Photo d'identité récente, 3) Relevés de notes des deux dernières années, 4) Diplôme ou attestation de réussite, 5) Certificat médical, 6) Justificatif de paiement des frais d'inscription. Tous les documents doivent être numérisés au format PDF pour l'inscription en ligne.",/admissions/documents-requis,
10.0,inscription,Pièces à joindre au dossier d'inscription,"Les documents nécessaires pour l'inscription à l'ISET sont : 1) Copie de la pièce d'identité, 2) Photo d'identité récente, 3) Relevés de notes des deux dernières années, 4) Diplôme ou attestation de réussite, 5) Certificat médical, 6) Justificatif de paiement des frais d'inscription. Tous les documents doivent être numérisés au format PDF pour l'inscription en ligne.",/admissions/documents-requis,
11.0,inscription,Quelles sont les dates d'inscription pour la rentrée?,"Les inscriptions pour la prochaine rentrée universitaire débutent le 15 juillet et se terminent le 15 septembre. Les inscriptions en ligne sont ouvertes 24h/24 pendant cette période. Pour les étudiants internationaux, la date limite est fixée au 31 août. Nous vous recommandons de ne pas attendre les derniers jours pour éviter tout problème technique.",/admissions/calendrier-inscriptions,
12.0,inscription,Calendrier des inscriptions pour l'année prochaine,"Les inscriptions pour la prochaine rentrée universitaire débutent le 15 juillet et se terminent le 15 septembre. Les inscriptions en ligne sont ouvertes 24h/24 pendant cette période. Pour les étudiants internationaux, la date limite est fixée au 31 août. Nous vous recommandons de ne pas attendre les derniers jours pour éviter tout problème technique.",/admissions/calendrier-inscriptions,
13.0,inscription,Jusqu'à quand peut-on s'inscrire?,"Les inscriptions pour la prochaine rentrée universitaire débutent le 15 juillet et se terminent le 15 septembre. Les inscriptions en ligne sont ouvertes 24h/24 pendant cette période. Pour les étudiants internationaux, la date limite est fixée au 31 août. Nous vous recommandons de ne pas attendre les derniers jours pour éviter tout problème technique.",/admissions/calendrier-inscriptions,
