question,answer,category,language
Can you provide the syllabus for Computer Science course at ISET Sfax?,"Detailed course info available at https://www.iset-sfax.tn/formation/informatique. Please refer to the updated syllabus from September 2023. For more info, email informatique@isetsf.rnu.tn or call +216-74-431-425.",Course Information,en
Where can I find the Engineering program curriculum?,Engineering curricula are available at https://www.iset-sfax.tn/formation/genie-civil. The program includes 180 ECTS credits over 3 years. Contact dept-genie@isetsf.rnu.tn for specific questions.,Course Information,en
What are the prerequisites for Business Administration courses?,Prerequisites for Business Administration are listed at https://www.iset-sfax.tn/formation/gestion. A minimum GPA of 12/20 in related subjects is required. Contact economie-gestion@isetsf.rnu.tn for details.,Course Information,en
How do I register for the upcoming semester?,"Register online at https://www.iset-sfax.tn/scolarite before August 30th. For assistance, contact scolarite@isetsf.rnu.tn or call +216-74-431-426.",Registration,en
What's the deadline for summer course registration?,Summer course registration closes on May 15th. Register at https://www.iset-sfax.tn/scolarite/inscription-cours-ete. Late registrations incur a 50 TND fee.,Registration,en
Can I register for courses after the official deadline?,Late registration is possible up to 10 days after the deadline with a 75 TND late fee. Submit your request at https://www.iset-sfax.tn/scolarite/inscription-tardive with proper justification.,Registration,en
What is the current tuition fee structure?,"Undergraduate tuition is 1,800 TND per year, while graduate programs cost 2,500 TND annually. Details at https://www.iset-sfax.tn/scolarite/frais. Payment plans available through finance@isetsf.rnu.tn.",Registration,en
Are there merit-based scholarships available?,Merit scholarships cover 25-100% of tuition based on academic performance. Applications open from June 1-30 at https://www.iset-sfax.tn/vie-universitaire/bourses. Minimum GPA of 16/20 required.,Student Life,en
How can I apply for financial aid?,Financial aid applications are accepted year-round at https://www.iset-sfax.tn/vie-universitaire/aide-financiere. Submit income verification and the completed form to aide@isetsf.rnu.tn.,Student Life,en
What are the library hours during exam week?,"During exam periods, the library extends hours to 8:00-23:00 Monday-Friday and 9:00-20:00 on weekends. Check https://www.iset-sfax.tn/bibliotheque for holiday exceptions.",Library,en
Are there 24-hour computer labs on campus?,The Engineering building houses a 24/7 computer lab accessible with student ID. See https://www.iset-sfax.tn/formation/laboratoires for equipment specifications and usage policies.,Course Information,en
How do I reserve a study room in the library?,Study rooms can be booked up to 2 weeks in advance through https://www.iset-sfax.tn/bibliotheque/reservation. Reservations are limited to 3 hours per day per student group.,Library,en
What is the minimum passing grade at ISET Sfax?,The passing grade is 10/20 for individual courses and 12/20 for the overall program average. Grading policies at https://www.iset-sfax.tn/scolarite/notation.,Registration,en
How does ISET Sfax handle plagiarism cases?,Plagiarism results in an automatic 0 for first offenses and possible suspension for repeat incidents. Full academic integrity policy at https://www.iset-sfax.tn/scolarite/integrite-academique.,Registration,en
What's the attendance policy for laboratories?,Laboratory attendance is mandatory with a maximum 20% absence rate allowed. Missing more requires medical documentation. Details at https://www.iset-sfax.tn/scolarite/presence.,Registration,en
What student clubs are active this semester?,"Currently active clubs include Robotics, Entrepreneurship, Photography, and Cultural Exchange. Join at https://www.iset-sfax.tn/vie-universitaire/clubs or contact clubs@isetsf.rnu.tn.",Student Life,en
When is the next student cultural festival?,The Annual Cultural Festival runs from March 15-20. Performance registration and schedule available at https://www.iset-sfax.tn/vie-universitaire/festival-culturel.,Student Life,en
Are there sports competitions between departments?,"Interdepartmental tournaments in football, handball, and basketball take place each November. Registration and rules at https://www.iset-sfax.tn/vie-universitaire/competitions-sportives.",Student Life,en
How can I find internship opportunities for IT students?,IT internship listings are posted weekly at https://www.iset-sfax.tn/centre-4c/stages. The Career Center also hosts tech company visits every Tuesday.,Career Services,en
When is the next campus job fair?,The Spring Job Fair is scheduled for April 12th in the Central Auditorium. Register at https://www.iset-sfax.tn/centre-4c/forum-emploi. Bring 10 printed résumés.,Career Services,en
Does ISET Sfax help with résumé preparation?,Free résumé reviews are available every Wednesday from 13:00-16:00. Schedule an appointment at https://www.iset-sfax.tn/centre-4c/aide-cv or email carrieres@isetsf.rnu.tn.,Career Services,en
What visa documentation do international students need?,"Required documents include acceptance letter, proof of financial support, and passport valid for 6+ months. Details at https://www.iset-sfax.tn/international/visa.",International Students,en
Are there French language courses for international students?,Complimentary French courses at beginner through advanced levels are offered each semester. Register at https://www.iset-sfax.tn/international/cours-langue.,International Students,en
How can international students find housing?,International student housing options include on-campus dormitories and pre-vetted off-campus accommodations. Applications at https://www.iset-sfax.tn/international/logement.,International Students,en
What's the exact location of ISET Sfax?,"ISET Sfax is located at Route de Mahdia Km 2.5 BP 88, Sfax, Tunisia. Campus map available at https://www.iset-sfax.tn/contact/plan-campus. GPS coordinates: 34.733°N, 10.766°E.",Contact & Location,en
Who should I contact about transfer credits?,"For transfer credit evaluation, contact Dr. Amira Cherif at transfer@isetsf.rnu.tn or +216-74-431-429. Required documentation listed at https://www.iset-sfax.tn/contact/transferts.",Contact & Location,en
What's the best way to reach the IT support team?,IT support is available Monday-Friday 8:00-18:00 at helpdesk@isetsf.rnu.tn or +216-74-431-430. Submit support tickets online at https://www.iset-sfax.tn/contact/support-info.,Contact & Location,en
How do I reset my student portal password?,"Reset your password at https://www.iset-sfax.tn/portail-etudiant/reinitialisation-mot-de-passe. If issues persist, contact helpdesk@isetsf.rnu.tn with your student ID.",Student Portal,en
Where can I access my grade transcripts online?,"Official transcripts are available under 'Academic Records' in the student portal. For certified copies, apply at https://www.iset-sfax.tn/portail-etudiant/releves-notes.",Student Portal,en
Can I update my contact information through the student portal?,Update personal information through the 'Profile' section of your portal. Changes to official documents require in-person verification at the Registrar's Office.,Student Portal,en
What online courses are available for distance learning?,Distance learning offerings include 25 fully online courses across all departments. Complete catalog at https://www.iset-sfax.tn/formation/cours-distance with technical requirements.,Course Information,en
Do you offer night classes for working professionals?,Evening programs run Monday-Thursday from 18:00-21:00 for working professionals. Course schedule and registration at https://www.iset-sfax.tn/formation/cours-soir.,Course Information,en
Are summer intensive courses available?,Six-week summer intensives are offered in July-August. Course list and compressed syllabus at https://www.iset-sfax.tn/formation/cours-ete. Registration opens May 1st.,Course Information,en
How do I register for graduation?,Submit graduation applications at https://www.iset-sfax.tn/scolarite/diplome three months before completion. Verification fee: 75 TND. Contact diplome@isetsf.rnu.tn.,Registration,en
What's the process for course withdrawal?,"Course withdrawals are permitted until week 6 with a 'W' grade. After week 6, an 'F' is recorded. Submit requests at https://www.iset-sfax.tn/scolarite/retrait-cours.",Registration,en
Can I register for courses from other departments?,Interdepartmental registration requires advisor approval. Submit the cross-registration form from https://www.iset-sfax.tn/scolarite/inscription-interdepartementale by the second week of classes.,Registration,en
Are installment plans available for tuition payment?,"Tuition can be paid in 3 installments (40%-30%-30%) with deadlines in September, December, and March. Set up your plan at https://www.iset-sfax.tn/scolarite/paiement-echelonne.",Registration,en
